41791
2018
Russia
Saudi Arabia
5
0
World Cup
in Russia
30
−30
1708
1555
2
−4
43
69
42156
2018
Iran
Morocco
1
0
World Cup
in Russia
25
−25
1815
1708
1
−7
20
42
42156
2018
Portugal
Spain
3
3
World Cup
in Russia
6
−6
1975
2038
0
0
6
3
42156
2018
Uruguay
Egypt
1
0
World Cup
in Russia
12
−12
1905
1632
0
−2
12
54
42522
2018
Argentina
Iceland
1
1
World Cup
in Russia
−17
17
1968
1782
−1
2
6
22
42522
2018
Croatia
Nigeria
2
0
World Cup
in Russia
25
−25
1878
1659
1
−3
16
47
42522
2018
Denmark
Peru
1
0
World Cup
in Russia
35
−35
1891
1881
4
−5
12
15
42522
2018
France
Australia
2
1
World Cup
in Russia
12
−12
1998
1729
0
−2
4
34
42887
2018
Brazil
Switzerland
1
1
World Cup
in Russia
−19
19
2122
1908
0
4
1
10
42887
2018
Mexico
Germany
1
0
World Cup
in Russia
47
−47
1897
2030
5
−1
13
3
42887
2018
Serbia
Costa Rica
1
0
World Cup
in Russia
27
−27
1805
1716
2
−7
21
38
43252
2018
Belgium
Panama
3
0
World Cup
in Russia
17
−17
1955
1641
0
−4
8
52
43252
2018
England
Tunisia
2
1
World Cup
in Russia
9
−9
1957
1647
0
1
7
48
43252
2018
Sweden
South Korea
1
0
World Cup
in Russia
23
−23
1818
1690
2
−4
20
43
43617
2018
Japan
Colombia
2
1
World Cup
in Russia
48
−48
1732
1879
11
−7
33
16
43617
2018
Russia
Egypt
3
1
World Cup
in Russia
24
−24
1732
1608
8
−2
33
56
43617
2018
Senegal
Poland
2
1
World Cup
in Russia
37
−37
1787
1794
5
−3
23
22
43983
2018
Portugal
Morocco
1
0
World Cup
in Russia
11
−11
1986
1697
0
0
5
43
43983
2018
Spain
Iran
1
0
World Cup
in Russia
13
−13
2051
1802
0
−1
2
21
43983
2018
Uruguay
Saudi Arabia
1
0
World Cup
in Russia
7
−7
1912
1548
2
−1
9
70
44348
2018
Australia
Denmark
1
1
World Cup
in Russia
13
−13
1742
1878
4
−3
31
16
44348
2018
Croatia
Argentina
3
0
World Cup
in Russia
66
−66
1944
1902
9
−6
8
12
44348
2018
France
Peru
1
0
World Cup
in Russia
20
−20
2018
1861
0
−3
4
18
44713
2018
Brazil
Costa Rica
2
0
World Cup
in Russia
8
−8
2130
1708
0
−3
1
43
44713
2018
Nigeria
Iceland
2
0
World Cup
in Russia
60
−60
1719
1722
7
−15
40
39
44713
2018
Switzerland
Serbia
2
1
World Cup
in Russia
21
−21
1929
1784
1
−3
9
23
45078
2018
Belgium
Tunisia
5
2
World Cup
in Russia
15
−15
1970
1632
1
−5
6
53
45078
2018
Germany
Sweden
2
1
World Cup
in Russia
14
−14
2044
1804
0
0
3
19
45078
2018
Mexico
South Korea
2
1
World Cup
in Russia
14
−14
1911
1676
2
0
11
45
45444
2018
Colombia
Poland
3
0
World Cup
in Russia
40
−40
1919
1754
5
−4
10
25
45444
2018
England
Panama
6
1
World Cup
in Russia
17
−17
1974
1624
1
−3
6
54
45444
2018
Japan
Senegal
2
2
World Cup
in Russia
5
−5
1737
1782
0
0
33
22
45809
2018
Morocco
Spain
2
2
World Cup
in Russia
23
−23
1720
2028
5
−1
39
3
45809
2018
Portugal
Iran
1
1
World Cup
in Russia
−15
15
1971
1817
−1
1
6
19
45809
2018
Russia
Uruguay
0
3
World Cup
in Russia
−41
41
1691
1953
−10
3
44
8
45809
2018
Saudi Arabia
Egypt
2
1
World Cup
in Russia
35
−35
1583
1573
6
−11
64
67
46174
2018
Argentina
Nigeria
2
1
World Cup
in Russia
16
−16
1918
1703
2
−3
12
43
46174
2018
Croatia
Iceland
2
1
World Cup
in Russia
13
−13
1957
1709
1
−3
8
41
46174
2018
Denmark
France
0
0
World Cup
in Russia
11
−11
1889
2007
−1
0
17
4
46174
2018
Peru
Australia
2
0
World Cup
in Russia
30
−30
1891
1712
3
−9
15
39
46539
2018
Brazil
Serbia
2
0
World Cup
in Russia
11
−11
2141
1773
0
−2
1
23
46539
2018
Costa Rica
Switzerland
2
2
World Cup
in Russia
17
−17
1725
1912
4
−2
38
12
46539
2018
South Korea
Germany
2
0
World Cup
in Russia
80
−80
1756
1964
20
−5
25
7
46539
2018
Sweden
Mexico
3
0
World Cup
in Russia
68
−68
1872
1843
3
−6
17
19
46905
2018
Belgium
England
1
0
World Cup
in Russia
30
−30
2000
1944
2
−5
4
9
46905
2018
Colombia
Senegal
1
0
World Cup
in Russia
19
−19
1938
1763
0
−3
10
24
46905
2018
Poland
Japan
1
0
World Cup
in Russia
29
−29
1783
1708
5
−10
21
43
46905
2018
Tunisia
Panama
2
1
World Cup
in Russia
29
−29
1661
1595
5
−7
47
61
11110
2018
France
Argentina
4
3
World Cup
in Russia
22
−22
2029
1896
1
−2
2
13
11110
2018
Uruguay
Portugal
2
1
World Cup
in Russia
32
−32
1985
1939
3
−4
5
9
37073
2018
Croatia
Denmark
1
1
World Cup
in Russia
−6
6
1951
1895
0
2
7
14
37073
2018
Russia
Spain
1
1
World Cup
in Russia
18
−18
1709
2010
3
0
42
3
37438
2018
Belgium
Japan
3
2
World Cup
in Russia
9
−9
2009
1699
0
−1
4
45
37438
2018
Brazil
Mexico
2
0
World Cup
in Russia
14
−14
2155
1829
0
0
1
19
37803
2018
Colombia
England
1
1
World Cup
in Russia
1
−1
1939
1943
1
0
9
8
37803
2018
Sweden
Switzerland
1
0
World Cup
in Russia
33
−33
1905
1879
5
−6
12
17
38899
2018
Belgium
Brazil
2
1
World Cup
in Russia
42
−42
2051
2113
1
0
3
1
38899
2018
France
Uruguay
2
0
World Cup
in Russia
39
−39
2068
1946
0
−2
2
7
39264
2018
England
Sweden
2
0
World Cup
in Russia
40
−40
1983
1865
3
−6
5
18
39264
2018
Russia
Croatia
2
2
World Cup
in Russia
12
−12
1721
1939
4
−2
38
8
40360
2018
France
Belgium
1
0
World Cup
in Russia
29
−29
2097
2022
0
0
2
3
40725
2018
Croatia
England
2
1
World Cup
in Russia
34
−34
1973
1949
3
−2
5
7
41821
2018
Belgium
England
2
0
World Cup
in Russia
36
−36
2058
1913
0
−3
3
10
42186
2018
France
Croatia
4
2
World Cup
in Russia
30
−30
2127
1943
1
−2
1
7
